10372,POS消费,地点27,教务处,2013/09/01 10:47:18,9.0,46.51
10372,POS消费,地点21,开水,2013/09/04 12:01:07,1.8,20.56
10372,POS消费,地点21,开水,2013/09/04 17:53:30,4.6,15.96
10372,POS消费,地点21,开水,2013/09/04 17:53:44,2.0,13.96
10372,POS消费,地点21,开水,2013/09/04 17:54:06,2.0,11.96
10372,POS消费,地点21,开水,2013/09/04 17:54:48,1.8,10.16
10372,POS消费,地点21,开水,2013/09/05 11:40:24,5.1,5.06
10372,POS消费,地点21,开水,2013/09/05 11:41:36,3.0,2.06
10372,POS消费,地点21,开水,2013/09/05 11:41:48,1.8,0.26
10372,POS消费,地点21,开水,2013/09/06 08:17:21,4.0,14.26
10372,POS消费,地点21,开水,2013/09/06 08:17:29,0.8,13.46
10372,圈存转账,,,2013/09/06 08:19:55,18.0,18.26
10372,POS消费,地点21,开水,2013/09/06 08:34:50,2.2,11.26
10372,POS消费,地点91,校车,2013/09/06 17:56:49,2.5,8.76
10372,POS消费,地点91,校车,2013/09/06 17:57:57,2.5,6.26
10372,POS消费,地点21,开水,2013/09/06 17:58:34,0.65,5.61
10372,POS消费,地点21,开水,2013/09/06 17:59:32,1.5,4.11
10372,POS消费,地点232,食堂,2013/09/06 18:01:28,1.8,2.31
10372,POS消费,地点21,开水,2013/09/07 11:31:09,6.6,95.71
10372,POS消费,地点21,开水,2013/09/07 11:31:49,5.0,90.71
10372,POS消费,地点21,开水,2013/09/07 11:32:50,3.0,87.71
10372,圈存转账,,,2013/09/07 11:33:02,100.0,102.31
10372,POS消费,地点21,开水,2013/09/07 20:50:16,15.0,72.71
10372,POS消费,地点215,开水,2013/09/07 20:55:21,0.03,72.68
10372,POS消费,地点1673,淋浴,2013/09/07 21:52:08,0.5,72.18
10372,POS消费,地点220,校车,2013/09/08 09:35:21,4.0,68.18
10372,POS消费,地点91,校车,2013/09/08 10:41:37,3.2,64.98
10372,POS消费,地点232,食堂,2013/09/08 10:43:06,8.4,56.58
10372,POS消费,地点91,校车,2013/09/08 10:48:50,10.0,46.58
10372,POS消费,地点220,校车,2013/09/08 16:45:41,4.0,42.58
10372,POS消费,地点220,校车,2013/09/08 16:46:43,4.0,38.58
10372,POS消费,地点21,开水,2013/09/08 17:36:31,2.2,36.38
10372,POS消费,地点21,开水,2013/09/08 22:11:05,17.9,18.48
10372,POS消费,地点1673,淋浴,2013/09/08 22:17:01,0.4,18.08
10372,POS消费,地点21,开水,2013/09/09 08:13:33,1.8,16.28
10372,POS消费,地点21,开水,2013/09/09 08:13:48,0.8,15.48
10372,POS消费,地点21,开水,2013/09/09 18:01:37,5.6,109.88
10372,POS消费,地点21,开水,2013/09/09 18:02:13,4.0,105.88
10372,圈存转账,,,2013/09/09 18:02:24,100.0,115.48
10372,POS消费,地点21,开水,2013/09/09 18:03:12,2.9,102.98
10372,POS消费,地点21,开水,2013/09/09 18:09:19,1.8,101.18
10372,POS消费,地点21,开水,2013/09/10 08:10:21,3.0,98.18
10372,POS消费,地点21,开水,2013/09/10 08:10:59,1.2,96.98
10372,POS消费,地点26,图书馆,2013/09/10 11:06:36,7.6,89.38
10372,POS消费,地点21,开水,2013/09/10 11:06:56,2.0,87.38
10372,POS消费,地点21,开水,2013/09/10 11:07:19,5.0,82.38
10372,POS消费,地点21,开水,2013/09/10 11:08:24,3.0,79.38
10372,POS消费,地点21,开水,2013/09/10 14:10:17,2.6,76.78
10372,POS消费,地点21,开水,2013/09/10 14:10:28,-2.6,79.38
10372,POS消费,地点21,开水,2013/09/10 14:10:34,2.2,77.18
10372,POS消费,地点1673,淋浴,2013/09/10 22:41:40,0.5,76.68
10372,POS消费,地点21,开水,2013/09/11 08:23:22,5.23,71.45
10372,POS消费,地点21,开水,2013/09/11 10:13:05,9.3,62.15
10372,POS消费,地点91,校车,2013/09/11 12:30:21,5.0,57.15
10372,POS消费,地点26,图书馆,2013/09/11 12:39:48,1.8,55.35
10372,POS消费,地点21,开水,2013/09/11 18:25:09,4.6,50.75
10372,POS消费,地点91,校车,2013/09/11 18:25:51,2.0,48.75
10372,POS消费,地点21,开水,2013/09/11 18:26:46,3.0,45.75
10372,POS消费,地点1673,淋浴,2013/09/11 22:31:39,0.2,45.55
10372,POS消费,地点21,开水,2013/09/12 09:23:30,2.8,42.75
10372,POS消费,地点21,开水,2013/09/12 09:23:42,0.5,42.25
10372,POS消费,地点21,开水,2013/09/12 09:28:12,0.2,42.05
10372,POS消费,地点243,食堂,2013/09/12 11:44:10,3.0,39.05
10372,POS消费,地点83,食堂,2013/09/12 16:57:56,4.0,35.05
10372,POS消费,地点21,开水,2013/09/12 18:03:13,4.6,30.45
10372,POS消费,地点21,开水,2013/09/12 18:04:03,2.0,28.45
10372,POS消费,地点21,开水,2013/09/12 18:05:04,1.8,26.65
10372,POS消费,地点21,开水,2013/09/12 21:54:07,10.8,15.85
10372,POS消费,地点21,开水,2013/09/13 11:47:36,6.5,9.35
10372,POS消费,地点21,开水,2013/09/13 17:00:19,6.0,3.35
10372,卡充值,,,2013/09/15 09:33:21,100.0,103.35
10372,POS消费,地点21,开水,2013/09/15 09:33:57,3.03,100.32
10372,POS消费,地点21,开水,2013/09/15 09:34:01,2.2,98.12
10372,POS消费,地点297,校车,2013/09/15 10:00:44,4.0,94.12
10372,POS消费,地点21,开水,2013/09/15 10:55:20,2.9,83.62
10372,POS消费,地点21,开水,2013/09/15 10:55:45,1.2,88.32
10372,POS消费,地点21,开水,2013/09/15 10:57:55,4.6,89.52
10372,POS消费,地点236,食堂,2013/09/15 10:58:57,1.8,86.52
10372,POS消费,地点191,校车,2013/09/15 17:29:12,4.0,79.62
10372,POS消费,地点21,开水,2013/09/15 18:22:25,4.6,75.02
10372,POS消费,地点21,开水,2013/09/15 18:23:05,3.0,72.02
10372,POS消费,地点21,开水,2013/09/15 18:25:22,1.8,70.22
10372,POS消费,地点21,开水,2013/09/15 18:45:06,3.2,67.02
10372,POS消费,地点1673,淋浴,2013/09/15 22:40:19,0.5,66.52
10372,POS消费,地点26,图书馆,2013/09/16 11:56:00,6.6,59.92
10372,POS消费,地点21,开水,2013/09/16 11:58:23,4.0,55.92
10372,POS消费,地点21,开水,2013/09/16 11:59:39,0.8,55.12
10372,POS消费,地点21,开水,2013/09/16 12:00:26,3.0,52.12
10372,POS消费,地点232,食堂,2013/09/16 17:09:14,6.0,46.12
10372,POS消费,地点21,开水,2013/09/16 17:10:47,1.8,44.32
10372,POS消费,地点21,开水,2013/09/17 08:27:22,4.0,40.32
10372,POS消费,地点21,开水,2013/09/17 08:27:45,2.2,38.12
10372,POS消费,地点21,开水,2013/09/17 10:15:44,13.2,24.92
10372,POS消费,地点215,开水,2013/09/17 12:14:05,0.01,24.91
10372,POS消费,地点215,开水,2013/09/17 12:14:22,0.03,24.88
10372,POS消费,地点21,开水,2013/09/17 16:40:05,3.0,21.88
10372,POS消费,地点21,开水,2013/09/17 16:41:21,3.5,18.38
10372,POS消费,地点21,开水,2013/09/17 16:42:14,4.0,14.38
10372,POS消费,地点21,开水,2013/09/18 08:21:39,3.03,11.35
10372,POS消费,地点232,食堂,2013/09/18 08:22:05,2.2,9.15
10372,圈存转账,,,2013/09/18 10:10:42,50.0,59.15
10372,POS消费,地点21,开水,2013/09/18 10:17:26,4.0,55.15
10372,POS消费,地点21,开水,2013/09/18 14:06:24,4.0,51.15
10372,POS消费,地点21,开水,2013/09/18 18:19:51,4.6,46.55
10372,POS消费,地点21,开水,2013/09/18 18:20:09,4.0,42.55
10372,POS消费,地点21,开水,2013/09/18 18:20:57,3.0,39.55
10372,POS消费,地点21,开水,2013/09/18 18:26:36,1.8,37.75
10372,POS消费,地点21,开水,2013/09/18 21:52:50,10.8,26.95
10372,POS消费,地点1673,淋浴,2013/09/18 22:43:19,0.4,26.55
10372,POS消费,地点91,校车,2013/09/20 12:01:40,7.6,18.95
10372,POS消费,地点26,图书馆,2013/09/20 12:08:47,3.0,15.95
10372,POS消费,地点21,开水,2013/09/20 12:20:03,8.5,7.45
10372,POS消费,地点529,校车,2013/09/21 09:04:08,4.0,3.45
10372,POS消费,地点21,开水,2013/09/21 10:01:54,3.0,100.45
10372,POS消费,地点21,开水,2013/09/21 10:02:18,1.0,99.45
10372,圈存转账,,,2013/09/21 10:03:12,100.0,103.45
10372,POS消费,地点118,食堂,2013/09/21 10:07:36,7.2,92.25
10372,POS消费,地点295,校车,2013/09/21 16:57:32,4.0,88.25
10372,POS消费,地点21,开水,2013/09/21 17:59:42,4.6,83.65
10372,POS消费,地点21,开水,2013/09/21 18:00:26,2.5,81.15
10372,POS消费,地点21,开水,2013/09/21 18:01:45,4.0,77.15
10372,POS消费,地点21,开水,2013/09/21 18:03:15,1.8,75.35
10372,POS消费,地点21,开水,2013/09/21 22:11:44,6.7,68.65
10372,POS消费,地点21,开水,2013/09/22 17:21:23,3.0,65.65
10372,POS消费,地点91,校车,2013/09/22 17:22:29,3.1,62.55
10372,POS消费,地点310,食堂,2013/09/22 17:23:38,4.0,58.55
10372,POS消费,地点1673,淋浴,2013/09/22 23:30:39,0.1,58.45
10372,POS消费,地点232,食堂,2013/09/23 17:57:18,6.0,52.45
10372,POS消费,地点21,开水,2013/09/23 18:00:13,1.8,50.65
10372,POS消费,地点21,开水,2013/09/24 08:21:48,4.03,46.62
10372,POS消费,地点21,开水,2013/09/24 11:07:29,5.6,41.02
10372,POS消费,地点232,食堂,2013/09/24 11:09:06,6.08,34.94
10372,POS消费,地点21,开水,2013/09/24 11:09:16,3.0,31.94
10372,POS消费,地点21,开水,2013/09/24 16:56:00,2.5,29.44
10372,POS消费,地点21,开水,2013/09/24 16:58:25,3.0,26.44
10372,POS消费,地点21,开水,2013/09/24 20:27:37,8.6,17.84
10372,POS消费,地点21,开水,2013/09/24 20:27:56,1.8,16.04
10372,POS消费,地点1673,淋浴,2013/09/24 23:22:16,0.4,15.64
10372,POS消费,地点21,开水,2013/09/25 17:46:32,3.0,12.64
10372,POS消费,地点21,开水,2013/09/25 17:46:59,5.6,7.04
10372,POS消费,地点21,开水,2013/09/25 17:47:41,1.5,5.54
10372,POS消费,地点91,校车,2013/09/25 17:48:51,2.0,3.54
10372,POS消费,地点21,开水,2013/09/25 17:57:36,1.8,1.74
10372,POS消费,地点1673,淋浴,2013/09/26 09:45:46,1.0,0.74
10372,圈存转账,,,2013/09/26 16:11:17,100.0,100.74
10372,POS消费,地点91,校车,2013/09/26 16:21:34,7.6,93.14
10372,POS消费,地点21,开水,2013/09/26 16:26:09,4.8,88.34
10372,POS消费,地点21,开水,2013/09/26 21:51:05,15.6,72.74
10372,POS消费,地点21,开水,2013/09/27 22:25:13,31.4,41.34
10372,POS消费,地点21,开水,2013/09/28 09:45:29,6.33,35.01
10372,POS消费,地点288,校车,2013/09/28 09:57:02,4.0,31.01
10372,POS消费,地点72,食堂,2013/09/28 10:58:11,4.0,27.01
10372,POS消费,地点21,开水,2013/09/28 10:58:46,0.7,26.31
10372,POS消费,地点218,食堂,2013/09/28 11:03:33,4.8,21.51
10372,POS消费,地点288,校车,2013/09/28 17:10:36,4.0,17.51
10372,POS消费,地点26,图书馆,2013/09/28 18:36:15,8.0,9.51
10372,POS消费,地点21,开水,2013/09/28 18:43:07,3.6,5.91
10372,POS消费,地点1673,淋浴,2013/09/28 19:13:39,0.3,5.61
10372,POS消费,地点288,校车,2013/10/04 09:37:22,4.0,1.61
10372,POS消费,地点1673,淋浴,2013/10/04 22:42:17,0.4,1.21
10372,卡充值,,,2013/10/05 10:44:59,50.0,51.21
10372,POS消费,地点21,开水,2013/10/05 10:53:43,2.6,48.61
10372,POS消费,地点21,开水,2013/10/05 10:54:15,1.5,43.11
10372,POS消费,地点72,食堂,2013/10/05 10:54:31,4.0,44.61
10372,POS消费,地点83,食堂,2013/10/05 17:23:03,2.2,40.91
10372,POS消费,地点187,校车,2013/10/05 17:23:09,4.0,36.91
10372,POS消费,地点21,开水,2013/10/05 18:40:35,1.8,35.11
10372,POS消费,地点21,开水,2013/10/05 18:43:11,2.6,32.51
10372,POS消费,地点21,开水,2013/10/06 09:13:13,4.03,28.48
10372,POS消费,地点297,校车,2013/10/06 09:19:38,4.0,24.48
10372,POS消费,地点203,食堂,2013/10/06 10:33:52,6.5,17.98
10372,POS消费,地点526,食堂,2013/10/06 10:46:54,6.9,11.08
10372,POS消费,地点191,校车,2013/10/06 17:25:24,4.0,7.08
10372,POS消费,地点191,校车,2013/10/06 17:28:45,4.0,3.08
10372,POS消费,地点1673,淋浴,2013/10/06 22:47:00,0.3,2.78
10372,POS消费,地点1673,淋浴,2013/10/08 22:20:09,0.4,2.38
10372,圈存转账,,,2013/10/09 10:10:17,100.0,102.38
10372,POS消费,地点248,超市,2013/10/09 10:11:07,6.7,95.68
10372,POS消费,地点21,开水,2013/10/09 10:20:33,1.83,93.85
10372,POS消费,地点21,开水,2013/10/09 13:19:02,8.6,85.25
10372,POS消费,地点21,开水,2013/10/09 14:28:16,3.8,81.45
10372,POS消费,地点21,开水,2013/10/09 16:25:58,2.6,78.85
10372,POS消费,地点21,开水,2013/10/09 19:38:03,1.8,77.05
10372,POS消费,地点21,开水,2013/10/09 21:18:04,18.6,58.45
10372,POS消费,地点21,开水,2013/10/10 19:16:37,2.6,55.85
10372,POS消费,地点21,开水,2013/10/10 21:44:51,5.1,50.75
10372,POS消费,地点1673,淋浴,2013/10/10 22:21:38,0.4,50.35
10372,POS消费,地点21,开水,2013/10/11 12:05:11,10.6,39.75
10372,POS消费,地点21,开水,2013/10/11 12:06:12,2.9,36.85
10372,POS消费,地点21,开水,2013/10/11 12:13:53,1.8,35.05
10372,POS消费,地点21,开水,2013/10/11 16:08:31,3.9,31.15
10372,POS消费,地点91,校车,2013/10/11 17:56:05,5.6,25.55
10372,POS消费,地点21,开水,2013/10/11 17:56:40,2.0,23.55
10372,POS消费,地点21,开水,2013/10/11 17:57:07,5.0,18.55
10372,POS消费,地点21,开水,2013/10/11 17:57:53,2.9,15.65
10372,圈存转账,,,2013/10/11 18:07:46,100.0,115.65
10372,POS消费,地点21,开水,2013/10/11 21:02:36,5.7,109.95
10372,POS消费,地点1673,淋浴,2013/10/11 23:45:11,0.2,109.75
10372,POS消费,地点21,开水,2013/10/12 10:10:39,5.73,104.02
10372,POS消费,地点21,开水,2013/10/12 11:57:44,4.6,99.42
10372,POS消费,地点91,校车,2013/10/12 11:58:20,6.3,93.12
10372,POS消费,地点21,开水,2013/10/12 11:58:52,2.0,91.12
10372,POS消费,地点21,开水,2013/10/12 11:59:57,2.9,88.22
10372,POS消费,地点21,开水,2013/10/12 18:41:40,2.9,85.32
10372,POS消费,地点21,开水,2013/10/12 18:42:12,7.1,78.22
10372,POS消费,地点21,开水,2013/10/12 18:49:07,1.8,76.42
10372,POS消费,地点21,开水,2013/10/12 18:49:42,6.0,70.42
10372,POS消费,地点21,开水,2013/10/13 09:20:46,4.0,66.42
10372,POS消费,地点920,校车,2013/10/13 09:31:03,4.0,62.42
10372,POS消费,地点232,食堂,2013/10/13 10:40:39,11.9,50.52
10372,POS消费,地点91,校车,2013/10/13 10:45:08,3.2,47.32
10372,POS消费,地点920,校车,2013/10/13 17:22:58,4.0,43.32
10372,POS消费,地点91,校车,2013/10/13 18:12:01,10.0,33.32
10372,POS消费,地点91,校车,2013/10/13 18:17:07,0.6,32.72
10372,POS消费,地点26,图书馆,2013/10/13 18:19:11,2.9,29.82
10372,POS消费,地点21,开水,2013/10/13 18:28:54,5.0,24.82
10372,POS消费,地点1673,淋浴,2013/10/13 22:28:07,0.6,24.22
10372,POS消费,地点21,开水,2013/10/14 11:35:34,4.6,19.62
10372,POS消费,地点21,开水,2013/10/14 11:36:19,2.5,17.12
10372,POS消费,地点21,开水,2013/10/14 11:37:25,1.5,15.62
10372,POS消费,地点21,开水,2013/10/14 11:37:58,1.8,13.82
10372,POS消费,地点21,开水,2013/10/14 11:46:34,1.8,12.02
10372,POS消费,地点91,校车,2013/10/14 17:59:45,5.1,106.92
10372,POS消费,地点21,开水,2013/10/14 18:00:58,4.0,102.92
10372,圈存转账,,,2013/10/14 18:01:35,100.0,112.02
10372,POS消费,地点21,开水,2013/10/14 18:01:42,0.8,102.12
10372,POS消费,地点21,开水,2013/10/14 18:02:44,1.8,100.32
10372,POS消费,地点21,开水,2013/10/15 07:24:25,2.0,98.32
10372,POS消费,地点21,开水,2013/10/15 07:24:35,2.0,96.32
10372,POS消费,地点21,开水,2013/10/15 07:31:04,2.2,94.12
10372,POS消费,地点91,校车,2013/10/15 11:51:33,7.0,87.12
10372,POS消费,地点21,开水,2013/10/15 12:10:59,4.4,82.72
10372,POS消费,地点232,食堂,2013/10/15 16:41:29,6.1,76.62
10372,POS消费,地点21,开水,2013/10/15 16:42:02,3.5,73.12
10372,POS消费,地点91,校车,2013/10/15 16:42:24,2.0,71.12
10372,POS消费,地点91,校车,2013/10/15 16:52:28,3.0,68.12
10372,POS消费,地点21,开水,2013/10/15 16:52:54,1.5,66.62
10372,POS消费,地点21,开水,2013/10/15 16:54:27,1.8,64.82
10372,POS消费,地点1673,淋浴,2013/10/15 21:55:12,0.1,64.72
10372,POS消费,地点1673,淋浴,2013/10/15 21:55:31,0.1,64.62
10372,POS消费,地点1673,淋浴,2013/10/15 23:13:44,0.5,64.12
10372,POS消费,地点21,开水,2013/10/16 08:14:58,2.6,61.52
10372,POS消费,地点21,开水,2013/10/16 08:15:08,0.8,60.72
10372,POS消费,地点232,食堂,2013/10/16 08:20:54,4.03,56.69
10372,POS消费,地点271,校医院,2013/10/16 16:13:30,11.0,45.69
10372,POS消费,地点91,校车,2013/10/16 16:23:11,7.0,38.69
10372,POS消费,地点248,超市,2013/10/16 16:38:10,3.5,35.19
10372,POS消费,地点21,开水,2013/10/17 10:09:53,3.33,31.86
10372,POS消费,地点21,开水,2013/10/17 10:11:34,2.8,29.06
10372,POS消费,地点91,校车,2013/10/17 11:32:22,7.6,21.46
10372,POS消费,地点26,图书馆,2013/10/17 11:37:24,1.8,19.66
10372,POS消费,地点91,校车,2013/10/17 16:09:44,13.0,6.66
10372,圈存转账,,,2013/10/17 16:35:18,100.0,106.66
10372,POS消费,地点21,开水,2013/10/17 18:57:07,3.9,102.76
10372,POS消费,地点1673,淋浴,2013/10/17 23:51:41,0.6,102.16
10372,POS消费,地点271,校医院,2013/10/18 11:52:36,11.0,91.16
10372,POS消费,地点21,开水,2013/10/18 12:02:17,2.6,88.56
10372,POS消费,地点21,开水,2013/10/18 18:30:44,8.6,79.96
10372,POS消费,地点21,开水,2013/10/18 18:31:20,2.0,77.96
10372,POS消费,地点21,开水,2013/10/18 18:32:57,2.0,75.96
10372,POS消费,地点91,校车,2013/10/18 18:42:19,4.5,71.46
10372,POS消费,地点21,开水,2013/10/18 22:19:32,18.8,52.66
10372,POS消费,地点21,开水,2013/10/19 07:53:16,4.03,48.63
10372,POS消费,地点187,校车,2013/10/19 08:02:54,4.0,44.63
10372,POS消费,地点21,开水,2013/10/20 08:03:38,6.23,38.4
10372,POS消费,地点21,开水,2013/10/20 20:33:37,5.8,32.6
10372,POS消费,地点1673,淋浴,2013/10/20 22:20:20,0.9,31.7
10372,POS消费,地点21,开水,2013/10/21 10:00:44,4.03,27.67
10372,POS消费,地点21,开水,2013/10/21 10:00:53,0.8,26.87
10372,POS消费,地点21,开水,2013/10/21 12:03:07,3.18,23.69
10372,POS消费,地点21,开水,2013/10/21 12:06:37,4.4,19.29
10372,POS消费,地点1673,淋浴,2013/10/21 23:44:54,0.3,18.99
10372,POS消费,地点1673,淋浴,2013/10/21 23:49:23,0.1,18.89
10372,POS消费,地点21,开水,2013/10/22 08:23:52,3.73,15.16
10372,POS消费,地点21,开水,2013/10/22 12:03:52,3.0,12.16
10372,POS消费,地点21,开水,2013/10/22 12:05:11,4.7,7.46
10372,POS消费,地点21,开水,2013/10/22 14:15:41,2.6,4.86
10372,POS消费,地点21,开水,2013/10/22 16:52:22,5.6,99.26
10372,圈存转账,,,2013/10/22 16:52:51,100.0,104.86
10372,POS消费,地点91,校车,2013/10/22 16:52:52,2.0,97.26
10372,POS消费,地点21,开水,2013/10/22 16:54:08,1.8,95.46
10372,POS消费,地点21,开水,2013/10/22 17:46:24,2.2,93.26
10372,POS消费,地点21,开水,2013/10/23 08:22:09,2.2,91.06
10372,POS消费,地点188,超市,2013/10/23 21:27:48,2.2,88.86
10372,POS消费,地点1673,淋浴,2013/10/23 23:27:36,0.4,88.46
10372,POS消费,地点21,开水,2013/10/24 09:37:47,4.23,84.23
10372,POS消费,地点310,食堂,2013/10/24 12:10:44,5.6,78.63
10372,POS消费,地点182,食堂,2013/10/24 12:11:02,1.5,77.13
10372,POS消费,地点21,开水,2013/10/24 12:11:39,3.0,74.13
10372,POS消费,地点91,校车,2013/10/24 17:59:13,4.8,69.33
10372,POS消费,地点257,食堂,2013/10/24 18:03:10,2.9,66.43
10372,POS消费,地点297,校车,2013/10/24 18:26:43,4.0,62.43
10372,POS消费,地点21,开水,2013/10/24 21:58:01,2.7,59.73
10372,POS消费,地点91,校车,2013/10/25 11:55:18,5.0,54.73
10372,POS消费,地点26,图书馆,2013/10/25 11:57:52,1.8,52.93
10372,POS消费,地点21,开水,2013/10/25 15:59:38,4.2,48.73
10372,POS消费,地点21,开水,2013/10/25 17:54:05,10.4,38.33
10372,POS消费,地点21,开水,2013/10/25 17:54:38,1.8,36.53
10372,POS消费,地点1673,淋浴,2013/10/26 00:17:35,0.3,36.23
10372,POS消费,地点21,开水,2013/10/26 11:23:48,8.6,27.63
10372,POS消费,地点21,开水,2013/10/26 11:24:38,1.8,25.83
10372,POS消费,地点21,开水,2013/10/26 11:31:55,1.8,24.03
10372,POS消费,地点21,开水,2013/10/26 12:41:37,1.0,23.03
10372,POS消费,地点953,校车,2013/10/26 13:04:11,4.0,19.03
10372,POS消费,地点21,开水,2013/10/27 11:36:27,3.1,15.93
10372,POS消费,地点21,开水,2013/10/27 11:36:47,2.0,13.93
10372,POS消费,地点21,开水,2013/10/27 11:37:51,1.8,12.13
10372,POS消费,地点21,开水,2013/10/27 11:45:12,1.8,10.33
10372,POS消费,地点529,校车,2013/10/27 12:54:58,4.0,6.33
10372,POS消费,地点21,开水,2013/10/27 20:10:34,1.8,4.53
10372,POS消费,地点1673,淋浴,2013/10/27 22:47:45,0.6,3.93
10372,POS消费,地点812,淋浴,2013/10/29 22:49:02,0.7,3.13
10372,POS消费,地点6,淋浴,2013/10/29 23:02:08,0.1,3.83
10372,POS消费,地点161,食堂,2013/10/31 16:59:21,8.1,45.03
10372,圈存转账,,,2013/10/31 17:00:26,50.0,53.13
10372,POS消费,地点217,食堂,2013/10/31 17:01:20,3.0,42.03
10372,POS消费,地点246,食堂,2013/10/31 17:11:08,2.0,40.03
10372,POS消费,地点178,校车,2013/10/31 18:03:19,4.0,36.03
10372,POS消费,地点21,开水,2013/10/31 21:18:33,3.2,32.83
10372,POS消费,地点21,开水,2013/11/01 10:52:16,3.1,29.73
10372,POS消费,地点21,开水,2013/11/01 10:52:34,4.0,25.73
10372,POS消费,地点21,开水,2013/11/01 10:53:22,1.5,24.23
10372,POS消费,地点21,开水,2013/11/01 10:53:57,3.0,21.23
10372,POS消费,地点1673,淋浴,2013/11/07 16:07:03,0.2,21.03
10372,POS消费,地点1673,淋浴,2013/11/07 16:09:19,0.7,20.33
10372,POS消费,地点21,开水,2013/11/08 17:06:33,4.0,11.93
10372,POS消费,地点21,开水,2013/11/08 17:07:17,2.0,9.93
10372,POS消费,地点26,图书馆,2013/11/08 17:07:25,4.4,15.93
10372,POS消费,地点21,开水,2013/11/08 17:07:58,2.9,7.03
10372,卡充值,,,2013/11/09 10:52:05,100.0,107.03
10372,POS消费,地点21,开水,2013/11/09 10:53:09,2.9,104.13
10372,POS消费,地点91,校车,2013/11/09 10:54:31,11.0,93.13
10372,POS消费,地点26,图书馆,2013/11/09 11:00:04,5.7,87.43
10372,POS消费,地点21,开水,2013/11/09 11:48:09,1.8,85.63
10372,POS消费,地点91,校车,2013/11/09 17:22:44,7.0,78.63
10372,POS消费,地点91,校车,2013/11/09 17:25:05,1.0,77.63
10372,POS消费,地点26,图书馆,2013/11/09 17:26:01,1.8,75.83
10372,POS消费,地点21,开水,2013/11/09 17:37:51,4.03,71.8
10372,POS消费,地点21,开水,2013/11/09 22:25:21,10.0,61.8
10372,POS消费,地点21,开水,2013/11/10 11:33:58,5.6,56.2
10372,POS消费,地点21,开水,2013/11/10 11:34:26,2.0,54.2
10372,POS消费,地点21,开水,2013/11/10 11:35:15,1.0,53.2
10372,POS消费,地点21,开水,2013/11/10 11:52:38,1.8,51.4
10372,POS消费,地点1673,淋浴,2013/11/10 23:29:14,0.4,51.0
10372,POS消费,地点21,开水,2013/11/11 10:10:57,4.03,46.97
10372,POS消费,地点21,开水,2013/11/11 11:57:42,2.0,40.37
10372,POS消费,地点26,图书馆,2013/11/11 11:57:43,4.6,42.37
10372,POS消费,地点21,开水,2013/11/11 11:59:30,5.0,35.37
10372,POS消费,地点21,开水,2013/11/11 12:00:31,1.0,34.37
10372,POS消费,地点21,开水,2013/11/11 18:17:18,4.6,29.77
10372,POS消费,地点21,开水,2013/11/11 18:18:10,4.0,25.77
10372,POS消费,地点26,图书馆,2013/11/11 18:18:22,1.5,24.27
10372,POS消费,地点21,开水,2013/11/11 18:26:27,1.8,22.47
10372,POS消费,地点232,食堂,2013/11/11 21:46:21,7.03,15.44
10372,POS消费,地点232,食堂,2013/11/11 21:46:39,3.8,11.64
10372,POS消费,地点1673,淋浴,2013/11/11 23:43:39,0.4,11.24
10372,卡充值,,,2013/11/12 12:02:20,100.0,111.24
10372,POS消费,地点21,开水,2013/11/12 12:04:21,2.5,108.74
